PLAYER,TEAM,GP,W,L,MIN,"PASSES
MADE","PASSES
RECEIVED",AST,SecondaryAssists,PotentialAssists,AssistPointsCreated,AdjustedAssists,AstToPass%,AdjAstToPass%,"AST TO
PASS% ADJ"
Doug McDermott,SAS,1,0,1,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Eubanks,PHX,1,0,1,17.1,18.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,5.6
Duop Reath,POR,1,0,1,9.1,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Dyson Daniels,NOP,1,0,1,13.5,11.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Emoni Bates,CLE,1,1,0,8.8,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franz Wagner,ORL,1,1,0,36.3,42.0,46.0,0.0,3.0,2.0,1.0,4.0,0.0,9.5
Gary Trent Jr.,TOR,1,0,1,27.7,24.0,36.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Georges Niang,CLE,1,1,0,20.9,34.0,33.0,0.0,1.0,2.0,2.0,2.0,0.0,5.9
Harry Giles III,BKN,1,1,0,1.3,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Jackson,IND,1,0,1,5.9,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ish Wainright,POR,1,0,1,3.8,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivica Zubac,LAC,1,0,1,26.8,30.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,3.3
Jabari Walker,POR,1,0,1,17.7,18.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Jaden Springer,PHI,1,0,1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jae'Sean Tate,HOU,1,1,0,10.7,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamal Cain,MIA,1,1,0,16.7,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaren Jackson Jr.,MEM,1,1,0,23.9,15.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarred Vanderbilt,LAL,1,0,1,22.8,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaxson Hayes,LAL,1,0,1,9.2,10.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jevon Carter,CHI,1,0,1,9.4,8.0,13.0,0.0,1.0,1.0,0.0,1.0,0.0,12.5
Joe Harris,DET,1,0,1,6.9,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Collins,UTA,1,1,0,26.6,21.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Jose Alvarado,NOP,1,0,1,9.9,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Strawther,DEN,1,1,0,7.7,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keegan Murray,SAC,1,0,1,39.7,34.0,34.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Kessler Edwards,SAC,1,0,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Knox II,DET,1,0,1,24.0,18.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Kris Murray,POR,1,0,1,4.6,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luguentz Dort,OKC,1,0,1,30.1,25.0,22.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
MarJon Beauchamp,MIL,1,0,1,5.7,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Marcus Morris Sr.,PHI,1,0,1,10.7,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Sasser,DET,1,0,1,6.3,14.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Marvin Bagley III,DET,1,0,1,15.4,22.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,4.5
Moses Moody,GSW,1,0,1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myles Turner,IND,1,0,1,29.3,19.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Nassir Little,PHX,1,0,1,3.2,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Nathan Mensah,CHA,1,0,1,6.6,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nickeil Alexander-Walker,MIN,1,1,0,22.9,29.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Norman Powell,LAC,1,0,1,25.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Obi Toppin,IND,1,0,1,24.5,32.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Ochai Agbaji,UTA,1,1,0,23.7,17.0,16.0,0.0,1.0,1.0,0.0,1.0,0.0,5.9
Olivier-Maxence Prosper,DAL,1,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ousmane Dieng,OKC,1,0,1,10.7,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Patrick Beverley,PHI,1,0,1,12.8,24.0,24.0,0.0,0.0,3.0,1.0,1.0,0.0,4.2
Payton Pritchard,BOS,1,1,0,12.7,24.0,28.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Rui Hachimura,LAL,1,0,1,29.1,13.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sam Hauser,BOS,1,1,0,14.6,18.0,14.0,0.0,1.0,1.0,0.0,1.0,0.0,5.6
Sasha Vezenkov,SAC,1,0,1,7.6,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seth Curry,DAL,1,1,0,6.3,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seth Lundy,ATL,1,0,1,19.2,7.0,8.0,0.0,0.0,1.0,2.0,1.0,0.0,14.3
Sidy Cissoko,SAS,1,0,1,14.4,9.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Simone Fontecchio,UTA,1,1,0,19.9,18.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tari Eason,HOU,1,1,0,20.4,22.0,16.0,0.0,0.0,2.0,1.0,1.0,0.0,4.5
Toumani Camara,POR,1,0,1,24.6,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trendon Watford,BKN,1,1,0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Murphy III,NOP,1,0,1,34.4,40.0,38.0,0.0,1.0,6.0,0.0,1.0,0.0,2.5
Troy Brown Jr.,MIN,1,1,0,3.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udoka Azubuike,PHX,1,0,1,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xavier Tillman,MEM,1,1,0,15.6,19.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Zeke Nnaji,DEN,1,1,0,5.3,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
