,PLAYER,TEAM,GP,W,L,MIN,"PASSES
MADE","PASSES
RECEIVED",AST,SecondaryAssists,PotentialAssists,AstPointsCreated,AdjustedAssists,AstToPass%,AdjAstToPass%,"AST TO
PASS% ADJ"
197,Jordan McLaughlin,MIN,1,1,0,3.4,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
198,Jordan Miller,LAC,1,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
199,Joshua Primo,LAC,1,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
200,Julian Phillips,CHI,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
201,Kelly Oubre Jr.,PHI,1,1,0,20.5,11.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
202,Kenrich Williams,OKC,1,1,0,12.5,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
203,Kessler Edwards,SAC,1,1,0,2.4,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
204,Kevin Knox II,DET,1,0,1,9.3,11.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
205,Kobe Brown,LAC,1,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
206,Micah Potter,UTA,1,0,1,4.4,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
207,Michael Porter Jr.,DEN,1,0,1,32.5,34.0,31.0,0.0,1.0,0.0,0.0,1.0,0.0,2.9,
208,Miles Bridges,CHA,1,0,1,30.9,38.0,35.0,0.0,1.0,5.0,0.0,1.0,0.0,2.6,
209,Myles Turner,IND,1,0,1,21.1,17.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
210,Naz Reid,MIN,1,1,0,27.1,29.0,24.0,0.0,2.0,2.0,0.0,2.0,0.0,6.9,
211,Norman Powell,LAC,1,1,0,24.4,7.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
212,Ochai Agbaji,UTA,1,0,1,23.3,24.0,20.0,0.0,1.0,4.0,3.0,3.0,0.0,12.5,
213,Ousmane Dieng,OKC,1,1,0,4.8,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
214,Peyton Watson,DEN,1,0,1,16.3,18.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,
215,Quentin Grimes,NYK,1,0,1,23.5,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
216,RJ Barrett,NYK,1,0,1,28.3,12.0,10.0,0.0,0.0,2.0,2.0,1.0,0.0,8.3,
217,Robert Covington,PHI,1,1,0,14.1,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
218,Ryan Arcidiacono,NYK,1,0,1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
219,Saddiq Bey,ATL,1,0,1,36.5,31.0,22.0,0.0,0.0,2.0,2.0,1.0,0.0,3.2,
220,Santi Aldama,MEM,1,0,1,26.5,30.0,26.0,0.0,1.0,2.0,0.0,1.0,0.0,3.3,
221,Shake Milton,MIN,1,1,0,5.4,2.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,50.0,
222,Simone Fontecchio,UTA,1,0,1,25.4,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
223,Taj Gibson,NYK,1,0,1,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
224,Thaddeus Young,TOR,1,0,1,2.7,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
225,Thomas Bryant,MIA,1,1,0,6.1,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
226,Torrey Craig,CHI,1,0,1,13.6,23.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
227,Trent Forrest,ATL,1,0,1,7.3,9.0,7.0,0.0,0.0,3.0,1.0,1.0,0.0,11.1,
228,Trey Lyles,SAC,1,1,0,17.7,24.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,4.2,
229,Tristan Thompson,CLE,1,1,0,13.2,16.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
230,Wendell Moore Jr.,MIN,1,1,0,3.4,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
